reasoning,fix_locality,agent_looping,fix_complexity,problem_clarity,fix_in_description,reproduction_steps,agent_gave_up_early,agent_wrong_file_focus,error_message_provided,domain_knowledge_required,agent_expressed_uncertainty,agent_declared_success_wrongly,task_id,run_id,resolved,name,score,explanation
"This was a moderately difficult task with clear problem description pointing to the specific file and line causing the issue. The fix required Django framework knowledge about widget context handling but was straightforward once identified - changing from directly modifying attrs to modifying the context returned by super(). The agent solved it successfully without confusion or backtracking, implementing the exact expected solution.",1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,django__django-12193,7bec4f27-4f63-4e99-a60b-7ffdf5fe3eb2,True,,,
"This task has low-to-moderate difficulty due to excellent problem clarity with reproduction code, clear error message, specific file/line location, and suggested fix approach. The agent solved it efficiently in one attempt with proper testing. The main challenges were understanding xarray's mask operations and handling multiple axis dimensions, which required framework-specific knowledge but was well-guided by the issue description.",1.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,pydata__xarray-4356,579aaf5f-117f-401c-a07d-091ee9371a5f,True,,,
,,,,,,,,,,,,,django__django-16612,a4a3d614-1b2f-4a38-99af-6555e314bf08,True,task_difficulty,0.15,"This is a straightforward task with clear problem description and simple fix. The issue explicitly points to the problematic line and suggests using request.META['QUERY_STRING']. The agent successfully implemented a one-line fix without any difficulty signals - no looping, wrong file focus, or uncertainty. The task requires moderate Django framework knowledge but the fix itself is simple (append query string to redirect URL). All trajectory-based signals indicate low difficulty."
,,,,,,,,,,,,,sympy__sympy-16766,63323a8c-3fcc-4b70-960f-ce0a80266d1d,True,task_difficulty,0.1,"This is an extremely easy task. The issue provides the exact code fix needed (the complete _print_Indexed method) in the problem description. The problem is crystal clear with reproduction steps, expected output, and even the exact file location hinted at. The fix is trivial - just adding one provided method to a class. The only work required is locating the correct file (easily done with grep) and inserting the method. The agent completed it successfully despite some minor file editing mistakes, which it quickly recovered from. All difficulty indicators are minimal: fix_in_description=3 (exact code provided), problem_clarity=5 (crystal clear), fix_locality=1 (single location), fix_complexity=1 (trivial), and no agent difficulty signals (no looping, wrong focus, or uncertainty). This represents the easiest category of SWE-bench tasks."
"This is a low-difficulty task with exceptional clarity. The issue description explicitly shows the problematic line and suggests the exact fix (changing lines to lines[1:]), making it nearly trivial to implement. The only moderate challenge was discovering and handling the single-line docstring edge case, which the agent identified through testing and fixed using a default parameter. The agent worked efficiently without confusion or wrong paths.",1.0,0.0,2.0,5.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,django__django-12155,a423ae2a-b174-4dcd-bc30-0ad2c7e7c0d4,True,,,
,,,,,,,,,,,,,matplotlib__matplotlib-25332,4874ec6d-0d25-40eb-96c3-f9d043c539e6,True,task_difficulty,0.58,"This SWE-bench task required moderate difficulty. While the problem was crystal clear (5/5 clarity) with full reproduction steps and error messages, the fix required significant domain knowledge (4/5) about Python pickling, weak references, and matplotlib's internal Grouper architecture. The fix spanned 3 files (cbook.py, figure.py, axes/_base.py), requiring the agent to locate all Grouper usages. The agent struggled with code editing (looping through multiple failed edits, expressing uncertainty) but successfully understood the core issue: weak references cannot be pickled, requiring a PicklableGrouper class using strong references. The trajectory shows clear problem-solving despite implementation difficulties."
,,,,,,,,,,,,,pytest-dev__pytest-7571,a8330a2e-8c71-4975-9f30-13dbaa2a2dee,True,task_difficulty,0.45,"Task difficulty assessment based on intrinsic and trajectory features:

**Task-Intrinsic Features:**
- fix_in_description: 1 (vague hint - describes problem but not solution)
- problem_clarity: 4 (clear problem with reproduction steps)
- error_message_provided: 0 (no traceback, just behavioral issue)
- reproduction_steps: 1 (concrete test case provided)
- fix_locality: 1 (single file, focused changes to LogCaptureFixture)
- domain_knowledge_required: 3 (requires pytest fixture lifecycle knowledge)
- fix_complexity: 2 (moderate - needs understanding of fixture finalization)

**Trajectory-Based Signals:**
- agent_declared_success_wrongly: 0 (successfully resolved)
- agent_looping: 0 (linear progression)
- agent_expressed_uncertainty: 1 (initial confusion about __del__ vs finalizers)
- agent_wrong_file_focus: 0 (correctly identified target file)
- agent_gave_up_early: 0 (completed successfully)

**Key Difficulty Factors:**
This is a moderate difficulty task. The problem is clearly specified with reproduction steps, making diagnosis straightforward. However, the solution requires pytest-specific knowledge about fixture lifecycle and finalization patterns. The agent showed initial uncertainty about the proper cleanup mechanism (trying __del__ before discovering request.addfinalizer()), indicating the task requires framework-specific expertise. The fix itself is localized and not overly complex once the pattern is understood. Overall, this represents a typical framework bug fix requiring domain knowledge but with clear problem specification."
"This is a moderate difficulty task requiring understanding of xarray's multi-layer architecture to thread the keep_attrs parameter through DataArray->Dataset->Variable. The problem is clearly specified with excellent reproduction steps, but the fix requires framework-specific knowledge about how parameters propagate through the call hierarchy across two files.",2.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,pydata__xarray-3305,0ee15ae0-bfdf-4a6c-8599-6dca6786d27e,True,,,
,,,,,,,,,,,,,django__django-12741,c31f5b68-722b-470c-8a0d-4f59db1aa9f0,True,task_difficulty,0.15,"This is a very straightforward refactoring task. The problem statement clearly describes the exact changes needed: remove the 'using' parameter from execute_sql_flush() and use self.connection.alias instead. The fix is highly localized (2 files, minimal changes), requires only basic Django framework knowledge, and the implementation is trivial. The agent completed it successfully with no difficulties, wrong turns, or uncertainty. Task-intrinsic features: fix_in_description=2 (clear description of what to change), problem_clarity=5 (crystal clear), error_message_provided=0 (refactoring task), reproduction_steps=0 (not applicable), fix_locality=1 (very localized), domain_knowledge_required=3 (Django-specific), fix_complexity=1 (trivial parameter removal). Trajectory signals: All zero - agent succeeded without issues, no looping, no uncertainty, correct file focus, completed successfully."
,,,,,,,,,,,,,django__django-13670,bf412f25-ab83-498e-8650-dfd42e1c398a,True,task_difficulty,0.15,"This task has very low difficulty. Task-intrinsic features: The problem statement is crystal clear (5/5) with explicit reproduction code showing Django's output ('3') vs Python/PHP's expected output ('23'). The fix location is obvious and localized to a single method. The actual fix is trivial - changing from string slicing to modulo with zero-padding. Trajectory signals: The agent solved this efficiently with no difficulty signals - went straight to the right file, made one minor indentation error that was immediately fixed, and successfully verified the solution. The task scored 1.0 on resolution, confirming it was straightforward."
"This is a straightforward task with excellent problem specification - the issue includes a complete reproducer, full error traceback pointing to the exact line, and explicitly suggests the fix approach. The actual fix is simple (adding a None check), localized to a single location, and the agent solved it efficiently without any wrong turns or confusion.",1.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,astropy__astropy-7336,697831f6-a1ec-49fb-a0a3-a1875369c18e,True,,,
,,,,,,,,,,,,,psf__requests-2317,8207027a-db09-4884-a98a-44fa3c25e7a3,True,task_difficulty,0.15,"Task-intrinsic features: fix_in_description=1, problem_clarity=4, error_message_provided=0, reproduction_steps=0, fix_locality=1, domain_knowledge_required=3, fix_complexity=1. Trajectory signals: agent_declared_success_wrongly=0, agent_looping=0, agent_expressed_uncertainty=0, agent_wrong_file_focus=0, agent_gave_up_early=0. Reasoning: This is a straightforward task with a trivial one-line fix. The issue clearly identifies the problematic line and provides good context about the Python 2/3 string handling issue. While some framework knowledge is needed to identify 'to_native_string' as the correct replacement, the fix locality is excellent and the agent showed no difficulty signals, proceeding directly to the solution without confusion or iteration."
,,,,,,,,,,,,,sympy__sympy-19495,357550a8-95b3-4b52-8bbd-5568928079c9,True,task_difficulty,0.58,"Task-intrinsic features: fix_in_description=1 (vague hint via xreplace/simultaneous examples), problem_clarity=5 (crystal clear with examples), error_message_provided=0, reproduction_steps=1, fix_locality=2 (single method, moderate changes), domain_knowledge_required=4 (SymPy internals, substitution semantics, dummy variables), fix_complexity=3 (moderate - requires understanding subtle substitution semantics). Trajectory signals: All zero - agent efficiently located correct file/method, made no loops, expressed no uncertainty, and successfully fixed the issue on first attempt. The main difficulty comes from requiring specialized knowledge of SymPy's substitution system and understanding when to substitute within condition/base_set vs handling dummy symbol substitution."
,,,,,,,,,,,,,django__django-13410,46fe9e77-d298-49ef-8fbc-64fba4f23257,True,task_difficulty,0.15,"This is a very easy task. The issue description provides the exact code fix as a diff, making it trivial to implement. The problem is clearly explained (fcntl.flock returns None on success, not 0), the fix is highly localized (single file, two functions), and requires only moderate Python knowledge. The agent completed it successfully without any difficulty signals - no looping, wrong file focus, or uncertainty. The main challenge is understanding fcntl behavior, but even that is explained in the issue. Score breakdown: fix_in_description=3 (exact fix provided), problem_clarity=5 (crystal clear), error_message_provided=0, reproduction_steps=0, fix_locality=1 (very localized), domain_knowledge_required=3 (moderate), fix_complexity=1 (trivial implementation), and all trajectory signals=0 (no difficulty indicators)."
,,,,,,,,,,,,,sympy__sympy-13647,2fe85ed6-a52d-4ed0-9281-6a0207cff3f3,True,task_difficulty,0.3,"This is a moderately easy task. The problem is crystal clear with excellent reproduction steps and visual output comparison. The fix is localized to a single line with a simple formula correction (changing `j - pos - other.cols` to `j - other.cols`). However, it requires understanding matrix indexing logic and reasoning about how columns shift after insertion. The agent successfully identified and fixed the bug without looping, wrong file focus, or declaring false success. The main difficulty comes from understanding the indexing mathematics rather than code localization or ambiguous requirements."
,,,,,,,,,,,,,django__django-16527,9d7f05df-f385-4e92-aeee-663d62b18c5f,True,task_difficulty,0.15,"{""fix_in_description"": 3, ""problem_clarity"": 5, ""error_message_provided"": 0, ""reproduction_steps"": 0, ""fix_locality"": 1, ""domain_knowledge_required"": 3, ""fix_complexity"": 1, ""agent_declared_success_wrongly"": 0, ""agent_looping"": 0, ""agent_expressed_uncertainty"": 0, ""agent_wrong_file_focus"": 0, ""agent_gave_up_early"": 0, ""reasoning"": ""This is a very easy task because the issue description provided the exact fix with precise file location, line number, and code to add. The fix was trivial (adding one permission check), highly localized (single line in one file), and the agent completed it without any difficulties or wrong turns.""}"
"This is a straightforward task where the issue explicitly states the fix (use re.escape()). The agent went directly to the correct file, made a single-line change matching the expected solution exactly, and submitted successfully without any difficulties or wrong turns.",1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,django__django-12143,da8a83fc-0af4-4487-86b4-7c2626356b64,True,,,
"This is a trivial task involving a simple typo fix where 'cotm' should be 'cothm'. The error message directly points to the exact file and line number, and the issue provides clear reproduction steps. The fix requires changing a single word on one line, making it one of the easiest possible SWE-bench tasks with no domain complexity or ambiguity.",1.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,sympy__sympy-13480,dd34c069-5514-4075-92af-8f1d45251217,True,,,
,,,,,,,,,,,,,sympy__sympy-21847,f423b58c-deb0-40cf-8684-9eab37ddeccb,True,task_difficulty,0.35,"{""fix_in_description"": 1, ""problem_clarity"": 5, ""error_message_provided"": 0, ""reproduction_steps"": 1, ""fix_locality"": 1, ""domain_knowledge_required"": 3, ""fix_complexity"": 2, ""agent_declared_success_wrongly"": 0, ""agent_looping"": 0, ""agent_expressed_uncertainty"": 0, ""agent_wrong_file_focus"": 0, ""agent_gave_up_early"": 0, ""reasoning"": ""This task has excellent clarity with reproduction steps and expected behavior clearly documented, making problem identification straightforward. The fix is localized to two lines with simple condition changes, but requires moderate domain knowledge to understand the distinction between maximum individual variable degree versus total degree of monomials. The agent solved it efficiently without difficulty signals, demonstrating that while domain knowledge is needed, the clear problem specification and localized fix make this a relatively approachable task.""}"
,,,,,,,,,,,,,django__django-10880,a6aa4622-6323-482a-bc12-7c45fe4c34c7,True,task_difficulty,0.25,"This is a relatively easy SWE-bench task. The issue description explicitly mentions 'A space is missing' and points to the exact file/line, giving a strong hint about the fix. The problem is crystal clear with expected SQL output described. The fix is trivial (adding one space character 'DISTINCT ' instead of 'DISTINCT') and highly localized to a single line in one file. The agent successfully identified the correct file immediately, made the appropriate fix, created comprehensive tests, and verified the solution without any significant difficulties, wrong turns, or uncertainty. The main complexity comes from needing Django ORM and SQL aggregation knowledge (framework-specific), but the actual implementation is straightforward once you understand the context."
,,,,,,,,,,,,,django__django-13820,f9a1ce98-dc4c-4c87-9af0-4de6a348bd82,True,task_difficulty,0.25,"This is a relatively easy task. The issue description explicitly states the exact fix needed ('augment getattr(m, __file__, None) with and isinstance(m.__path__, list)'), making it essentially a one-line change. The agent went directly to the correct file and made the fix on the first attempt. While the task requires specialized knowledge about Python's import system and namespace packages (PEP-420), the actual implementation is straightforward. The agent struggled significantly with writing tests but this was unrelated to understanding or implementing the core fix. The problem clarity is excellent and the fix locality is minimal (single line, single file). No trajectory-based difficulty signals were observed - the agent didn't loop, express uncertainty about the fix, or focus on wrong files."
"This is a straightforward task with excellent problem clarity and a trivial one-line fix. The issue description clearly explains what needs to change and why, making it easy to locate and implement. The agent completed it efficiently without any struggles.",1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,django__django-13741,a7fda835-9201-4750-9742-bf146b5a331c,True,task_difficulty,0.15,"This is a low-difficulty task. The issue description clearly specifies what needs to change (setting disabled=True by default) and provides clear reasoning. The fix is trivial - a single line addition in one location. While it requires Django framework knowledge, the agent completed it without any difficulty, uncertainty, or wrong turns. The problem clarity (5/5), simple fix locality (1/3), and trivial complexity (1/5) all indicate an easy task. The agent found the correct file immediately and made the exact change matching the expected solution on the first attempt."
,,,,,,,,,,,,,sympy__sympy-20590,3948764c-eeeb-410e-abf8-85a09d04c036,True,task_difficulty,0.42,"Task difficulty analysis: fix_in_description=1 (vague hint about parent class missing __slots__), problem_clarity=4 (clear issue with reproduction code), error_message_provided=0, reproduction_steps=1, fix_locality=1 (single line addition to Printable class), domain_knowledge_required=3 (requires understanding Python __slots__ inheritance), fix_complexity=2 (trivial fix once location identified), agent_declared_success_wrongly=0, agent_looping=0, agent_expressed_uncertainty=0, agent_wrong_file_focus=0, agent_gave_up_early=0. The task required methodical investigation of the class hierarchy to identify that the Printable class was missing __slots__, but the agent performed this systematically without difficulty. The problem statement was clear and the fix was simple once the root cause was identified."
"This task has high problem clarity with concrete reproduction code and explicit pointer to the problematic line, making it easier than average. The fix is localized to a single function with moderate complexity, requiring framework knowledge about pandas/xarray integration but implementing a straightforward isinstance check. The agent solved it efficiently without wrong turns or uncertainty.",1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,pydata__xarray-2905,90582505-637d-450c-9dd2-c30b211646a3,True,,,
"This is a very easy task with exceptional clarity: the issue provides a full error traceback, exact code location via GitHub link, clear reproduction steps, and even explains the root cause (variable only set inside loop). The fix is trivial - a single line to initialize a variable before a loop. The agent solved it smoothly without any difficulty, confusion, or wrong turns.",1.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,django__django-14493,537eec14-da8d-4179-a76c-cf1b0a6b82b4,True,,,
,,,,,,,,,,,,,django__django-12262,2e5e97a8-3945-47a6-89b0-aeefb243f5da,False,task_difficulty,0.72,"Task difficulty score of 0.72 (moderately difficult). Task-intrinsic factors: Clear problem statement (5/5) with reproduction steps and error messages, but requires specialized Django template system knowledge (4/5) and moderately complex fix involving keyword-only argument handling (4/5) across multiple functions. Trajectory signals: Agent declared success wrongly (resolved=0.0), expressed uncertainty, and spent ~85 messages on test infrastructure rather than core problem, suggesting the task's difficulty lies in correctly handling default values for keyword-only arguments in Django's template compilation system."
"This task required specialized knowledge of Python's module system (__spec__, __main__) and Django's autoreloader mechanism. The problem was clearly described and the fix was localized to one function, though understanding the edge cases between package and standalone module execution required careful analysis. The agent successfully completed the task without significant difficulties, making appropriate changes that match the expected solution closely.",1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,django__django-14311,42bc4783-d0fd-434c-8d74-69f15b1cec70,False,,,
,,,,,,,,,,,,,sympy__sympy-20916,bd909442-a5e6-4f4f-a2b3-a8250a889f6d,False,task_difficulty_features,0.58,"This is a moderately difficult task. Task-intrinsic factors: The problem is reasonably clear (problem_clarity=4) with concrete examples showing expected vs actual output. However, there's minimal hint about the fix (fix_in_description=1), no error message (0), and incomplete reproduction steps (0). The fix is localized to one function (fix_locality=1) but requires understanding SymPy's Unicode/Greek letter translation system (domain_knowledge_required=3) with moderate implementation complexity (fix_complexity=3). Trajectory signals: The agent created a test showing correct output but still received 0.0 score (agent_declared_success_wrongly=1), suggesting subtle correctness issues or incomplete edge case handling. The agent didn't loop, express uncertainty, or focus on wrong files. Key difficulty: The discrepancy between passing manual test and failing actual test suite indicates the task has subtle requirements not obvious from the problem description."
,,,,,,,,,,,,,astropy__astropy-14365,da4bd611-29db-4039-927c-2e8032c08fb0,False,task_difficulty,0.15,"This is an easy task with clear problem description, explicit reproduction steps, detailed error messages, and a simple fix requiring only 2 lines changed (regex pattern to lowercase + re.IGNORECASE flag). The agent successfully completed it without any uncertainty, wrong turns, or failures. The fix locality is excellent (single file, minimal changes), domain knowledge required is basic (regex flags), and fix complexity is trivial."
"This task has high problem clarity with explicit RFC requirements and example invalid URLs, making it straightforward to understand. However, it requires specialized knowledge of URL standards and complex regex pattern construction to properly validate percent-encoded characters while rejecting unencoded special characters. The fix itself is highly localized (single regex pattern) and the agent completed it successfully without significant difficulty, though the regex complexity makes this a moderate-difficulty task requiring domain expertise.",1.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,django__django-10097,8921af6c-3fa2-4f41-a128-64767f1302fe,False,,,
,,,,,,,,,,,,,django__django-14999,d6dff9d5-70ac-4ac9-803b-aa75e18fd924,False,task_difficulty,0.65,"Task-intrinsic features: fix_in_description=1 (vague hint about db_table being a noop), problem_clarity=3 (clear problem but lacks reproduction steps), error_message_provided=0, reproduction_steps=0, fix_locality=1 (single file, localized changes), domain_knowledge_required=4 (requires deep Django migrations and ORM knowledge, understanding of db_table vs default_tablename), fix_complexity=3 (requires understanding of migration forwards/backwards pattern and correct logic for no-op detection). Trajectory signals: agent_declared_success_wrongly=0 (tests passed), agent_looping=0 (made steady progress), agent_expressed_uncertainty=0, agent_wrong_file_focus=0 (found correct file quickly), agent_gave_up_early=0 (completed successfully). Key difficulty factors: The task requires specialized Django ORM knowledge to understand when db_table is explicitly set vs auto-generated, and the correct implementation of the backwards operation. The agent had to iterate several times on the database_backwards implementation, showing the subtlety of getting the logic right. However, the fix location was easy to find and the overall structure was straightforward once the concept was understood."
"This task was straightforward with crystal-clear problem specification including exact reproduction steps. The fix was localized to a single line (changing float32 to float16 in a casting check), requiring moderate domain knowledge of numpy dtypes but low complexity. The agent successfully completed all steps without any wrong turns, uncertainty, or failures.",1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,astropy__astropy-8872,6a2b1067-e524-40d6-9dd0-4d9c636914db,False,,,
"This task has excellent clarity with full reproduction code and error traces, making problem identification straightforward. However, it requires moderate domain knowledge about Python operator precedence creating Mul objects and how to decompose them. The agent solved it efficiently with only one iteration to fix a recursion bug, and the fix was localized to a single method.",1.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,sympy__sympy-17655,3e7b1c28-1b21-4dd5-9868-9939b8e81c7b,False,,,
,,,,,,,,,,,,,sympy__sympy-24661,40552479-670f-4b59-a5ee-feaf6a7f60e3,False,task_difficulty_prediction,0.65,"Task difficulty features: fix_in_description=1 (vague hint about evaluateFalse transformer), problem_clarity=4 (clear with reproduction), error_message_provided=0, reproduction_steps=1, fix_locality=2 (requires understanding AST transformation system), domain_knowledge_required=4 (requires deep knowledge of SymPy parser architecture and AST transformations), fix_complexity=3 (moderate - need to ensure relational operators pass evaluate parameter through EvaluateFalseTransformer). Trajectory signals: agent_declared_success_wrongly=0, agent_looping=1 (catastrophically stuck trying to rebuild corrupted file), agent_expressed_uncertainty=0, agent_wrong_file_focus=0 (initially correct but then destroyed the right file), agent_gave_up_early=0. The agent made a catastrophic error by accidentally overwriting the critical parser file, then failed to recover. The actual fix requires understanding how the EvaluateFalseTransformer class handles comparison operators and ensuring they get the evaluate=False parameter, which is non-trivial but not extremely difficult for someone familiar with the codebase."
,,,,,,,,,,,,,pydata__xarray-7393,f448a6ef-a8c5-42a3-9a05-4129f23ec95f,False,task_difficulty,0.65,"This task has moderate-to-high difficulty. The problem is clearly specified with reproduction steps (problem_clarity: 5, reproduction_steps: 1), but the fix requires deep understanding of xarray's stacking implementation across multiple files. The agent thoroughly explored the codebase (dataset.py, variable.py, duck_array_ops.py) but was misled by being unable to reproduce the issue in the dev environment, leading them to conclude it was already fixed rather than implementing an actual fix. The task requires framework-specific knowledge (domain_knowledge_required: 4) and the fix involves understanding how MultiIndex creation affects dtypes. The agent's inability to reproduce the bug and subsequent documentation-only response (rather than a code fix) suggests the task has subtle requirements that aren't immediately obvious from testing alone. Key difficulty factors: fix_in_description: 0, problem_clarity: 5, error_message_provided: 0, reproduction_steps: 1, fix_locality: 2, domain_knowledge_required: 4, fix_complexity: 3, agent_declared_success_wrongly: 0, agent_looping: 0, agent_expressed_uncertainty: 0, agent_wrong_file_focus: 0, agent_gave_up_early: 1."
,,,,,,,,,,,,,sphinx-doc__sphinx-8459,44f279b1-cdc4-41f9-be67-687321178592,False,task_difficulty,0.58,"This task requires moderate Sphinx autodoc domain knowledge (score 4/5) to understand how type hints and type aliases interact. The problem is very clear (5/5) with complete reproduction steps, making understanding the issue straightforward. However, the fix requires knowing where in the autodoc pipeline to apply type aliases when typehints mode is 'description', which is non-trivial. The fix itself is localized (1/3) but the agent struggled with test setup, configuration issues, and ultimately ran out of budget. The agent did identify the correct fix location and implemented a reasonable solution, but couldn't validate it. The combination of good clarity but requiring specialized domain knowledge and careful implementation makes this a moderate difficulty task."
,,,,,,,,,,,,,django__django-13121,1464c3f8-ede4-4e50-98cb-6fe2cc722af9,False,task_difficulty,0.65,"This is a moderately difficult SWE-bench task. Task-intrinsic factors: The problem statement is clear with a specific error traceback (problem_clarity: 4), includes reproduction code (reproduction_steps: 1), and the fix is localized to 2 files with moderate complexity (fix_locality: 2, fix_complexity: 3). The fix requires Django/SQLite backend knowledge to understand how custom database functions work (domain_knowledge: 4). The issue description doesn't directly suggest the fix (fix_in_description: 1). Trajectory-based signals: The agent spent 70% of time fighting syntax errors from malformed edits rather than solving the core problem (agent_looping: 1), never verified the fix worked, and hit cost limits before completion (agent_gave_up_early: 1). The agent did locate the correct files and understand the problem conceptually (agent_wrong_file_focus: 0), suggesting the difficulty comes from execution complexity rather than problem understanding. The combination of backend-specific knowledge requirements and subtle type handling makes this a medium-difficulty task."
"This task has exceptional clarity with detailed reproduction steps, full traceback, and explicit fix direction (convert domain to punycode). However, it requires specialized knowledge of IDNA/Punycode encoding for internationalized domain names. The agent solved it efficiently in a single attempt, going directly to the correct file and applying the exact fix, demonstrating that despite the domain knowledge requirement, the clear problem specification made this task straightforward.",1.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,django__django-11532,901cb603-801a-46da-931e-c2fa9f55a2ea,False,,,
,,,,,,,,,,,,,psf__requests-2931,7920d4f6-1c61-4dd2-a6ea-a3ceb0af9ae7,False,task_difficulty,0.15,"This is a very easy task. It provides clear reproduction steps, a helpful error traceback pointing directly to the problematic function, and requires only a trivial one-parameter change from 'ascii' to 'utf-8'. The agent solved it efficiently without any confusion or wrong turns. The only complexity is understanding Python encoding, which is basic for most developers."
