,b,b_std
abetlen__llama-cpp-python-218d361,4.318422317504883,1.1168067
abetlen__llama-cpp-python-2bc1d97,3.8249034881591797,1.0688995
huggingface__datasets-5994036,3.9736032485961914,1.094053
huggingface__datasets-c5464b3,2.557950258255005,0.98447937
huggingface__datasets-ef3b5dd,0.5212770700454712,0.76045483
huggingface__tokenizers-076319d,1.083467960357666,0.63469297
huggingface__tokenizers-bfd9cde,4.109292030334473,1.3128577
huggingface__tokenizers-c893204,-0.04368893802165985,0.49344885
huggingface__tokenizers-fc76ad4,4.0955586433410645,1.180412
huggingface__transformers-211f93a,4.2981648445129395,1.0963298
huggingface__transformers-253f9a3,4.154938697814941,1.1293526
huggingface__transformers-63b90a5,0.5158672332763672,0.6649288
huggingface__transformers-d51b589,4.1831464767456055,1.1023592
numpy__numpy-09db9c7,2.678776741027832,0.64036983
numpy__numpy-11a7e2d,2.4962189197540283,0.81616294
numpy__numpy-19bfa3f,3.88375186920166,1.3289813
numpy__numpy-1b861a2,1.965477466583252,0.764296
numpy__numpy-1fcda82,3.89546537399292,1.1851867
numpy__numpy-22ab9aa,4.116856575012207,1.1956329
numpy__numpy-248c60e,0.11434894055128098,0.7110591
numpy__numpy-2540554,1.580877423286438,0.6202255
numpy__numpy-28706af,1.499943733215332,0.7971005
numpy__numpy-2dfd21e,4.1688690185546875,1.0924398
numpy__numpy-330057f,2.7887470722198486,0.70532846
numpy__numpy-382b3ff,4.135430812835693,1.4134166
numpy__numpy-567b57d,4.062148094177246,0.8906719
numpy__numpy-5f94eb8,4.03914213180542,1.128746
numpy__numpy-68eead8,-0.35040175914764404,0.5634564
numpy__numpy-728fedc,3.9331090450286865,1.1829841
numpy__numpy-780799b,2.5996482372283936,0.8472759
numpy__numpy-7853cbc,-0.049563124775886536,0.6945567
numpy__numpy-794f474,4.035133361816406,1.1517175
numpy__numpy-7ff7ec7,0.18326379358768463,0.6020876
numpy__numpy-83c780d,3.7938199043273926,1.3818475
numpy__numpy-893db31,3.935311794281006,1.0946574
numpy__numpy-8dd6761,3.926182270050049,1.2436224
numpy__numpy-905d37e,2.7290563583374023,1.0806005
numpy__numpy-ac5c664,3.723130702972412,0.9363239
numpy__numpy-b862e4f,1.626373529434204,0.7779176
numpy__numpy-ba89ef9,4.299294948577881,1.1320149
numpy__numpy-be52f19,1.9272215366363525,0.9682547
numpy__numpy-cb0d7cd,4.090916156768799,1.4516984
numpy__numpy-cb461ba,2.7400035858154297,1.0278894
numpy__numpy-cedba62,1.4837393760681152,1.0932617
numpy__numpy-e801e7a,1.9012478590011597,0.77503824
numpy__numpy-eb21b25,2.3930466175079346,0.7206335
numpy__numpy-ec52363,1.0451951026916504,0.5408057
numpy__numpy-ee75c87,2.648329973220825,0.8586393
numpy__numpy-ef5e545,2.595590353012085,0.93497103
pandas-dev__pandas-061c2e9,4.301681995391846,0.9186224
pandas-dev__pandas-191557d,1.2528935670852661,0.43333143
pandas-dev__pandas-1c2ad16,2.5054965019226074,0.9511196
pandas-dev__pandas-2278923,-0.07094794511795044,0.6287153
pandas-dev__pandas-233bd83,4.19755744934082,1.0487809
pandas-dev__pandas-235113e,2.5117392539978027,1.0479707
pandas-dev__pandas-2421931,-0.3437534272670746,0.58223623
pandas-dev__pandas-2a08b05,2.808042287826538,1.0309728
pandas-dev__pandas-2cdca01,4.1929168701171875,1.3145196
pandas-dev__pandas-2f4c93e,0.6202104687690735,0.71736026
pandas-dev__pandas-37e9e06,-1.5217461585998535,0.5017217
pandas-dev__pandas-438b957,1.5050363540649414,0.78717154
pandas-dev__pandas-45f0705,1.728655457496643,0.7190027
pandas-dev__pandas-5d82d8b,0.3711159825325012,0.57296157
pandas-dev__pandas-609c3b7,1.153201699256897,0.87895894
pandas-dev__pandas-65bca65,1.0851675271987915,0.6674088
pandas-dev__pandas-71c94af,2.680389642715454,0.81997323
pandas-dev__pandas-81b5f1d,4.130765914916992,1.1420442
pandas-dev__pandas-84aca21,4.181856632232666,1.3915852
pandas-dev__pandas-9097263,1.8121254444122314,0.66775817
pandas-dev__pandas-9a6c8f0,0.8910077810287476,0.6245495
pandas-dev__pandas-9d6d587,0.6568260788917542,0.7924267
pandas-dev__pandas-ad3f3f7,2.69708251953125,0.9142088
pandas-dev__pandas-bfaf917,4.171847343444824,1.0592054
pandas-dev__pandas-c34da50,0.21517233550548553,0.6689846
pandas-dev__pandas-c51c2a7,1.229009985923767,0.8387256
pandas-dev__pandas-c6cf37a,1.9086626768112183,0.828164
pandas-dev__pandas-ccca5df,1.5413594245910645,0.77126795
pandas-dev__pandas-d377cc9,1.8223334550857544,0.8584099
pandas-dev__pandas-e7e3676,2.409050226211548,1.2070001
pandas-dev__pandas-e8961f1,2.9392428398132324,1.253262
pandas-dev__pandas-f1211e7,1.592036247253418,0.8530358
pandas-dev__pandas-f298507,2.5907931327819824,0.98425883
pandas-dev__pandas-fd43d4b,3.767216920852661,1.1059821
pydantic__pydantic-4a09447,-0.552535355091095,0.6794883
pydantic__pydantic-ac9e6ee,3.951817750930786,1.5293663
pydantic__pydantic-addf1f9,4.241973876953125,1.3249733
pydantic__pydantic-c2647ab,2.781682252883911,1.0786066
python-pillow__Pillow-63f398b,2.6069347858428955,1.092165
python-pillow__Pillow-d8af3fc,2.566948890686035,1.0388196
python-pillow__Pillow-f854676,-1.2557315826416016,0.6751795
python-pillow__Pillow-fd8ee84,-0.9351601004600525,0.5418946
tornadoweb__tornado-1b464c4,-0.8554425835609436,0.48530352
tornadoweb__tornado-4d4c1e0,4.23300313949585,1.1352351
tornadoweb__tornado-9a18f6c,-1.630023717880249,0.61481076
tornadoweb__tornado-ac13ee5,3.953282356262207,1.1171623
uploadcare__pillow-simd-0514e20,2.5128278732299805,1.0934823
uploadcare__pillow-simd-2818b90,2.5426993370056152,0.9660206
uploadcare__pillow-simd-6eacce9,3.93563175201416,1.090026
uploadcare__pillow-simd-7511039,2.8089771270751953,0.8940176
uploadcare__pillow-simd-9e60023,4.178116321563721,1.082021
uploadcare__pillow-simd-b4045cf,2.551166296005249,0.91476446
uploadcare__pillow-simd-d970a39,1.7720065116882324,0.57913744
